Sara Achour
Maneesh Agrawala
Alex Aiken
Wolfgang Amodeus Mozart
Nima Anari
July August
Peter Bailis
Clark Barrett
Gill Bejerano
Michael Bernstein
Jeannette Bohg
Dan Boneh
Adam Bouland
Emma Brunskill
Juan Carlos Niebles
Moses Charikar
Ron Dror
Zakir Durumeric
Dawson Engler
Stefano Ermon
Frank Farhard
Kayvon Fatahalian
Ron Fedkiw
Chelsea Finn
Fred Fivehead
Frederick Flowers
Fred Foster
Emily Fox
Finley Furk
Mike Genesereth
Noah Goodman
Carlos Guestrin
Leonidas Guibas
Patrick Hanrahan
Tatsunori Hashimoto
John Hennessy
Mark Horowitz
Forrest Hump
Thomas Icard
Doug James
Dan Jurafsky
Sachin Katti
Oussama Khatib
Fred Kjolstad
Mykel Kochenderfer
Sanmi Koyejo
Christos Kozyrakis
Anshul Kundaje
Monica Lam
James Landay
Jure Leskovec
Philip Levis
Fei-Fei Li
Percy Liang
Karen Liu
Tengyu Ma
Chris Manning
David Mazières
Nick McKeown
John Mitchell
Subhasish Mitra
Andrew Ng
Kunle Olukotun
John Ousterhout
Janh Paul Sartr
Marco Pavone
Chris Piech
Chris Potts
Fineas Powers
Balaji Prabhakar
Chris Ré
Omer Reingold
Mendel Rosenblum
Aviad Rubinstein
Dorsa Sadigh
Mehran Sahami
Silvio Savarese
Aaron Sidford
Francis Sinatra
Li-Yang Tan
Sebastian Thrun
Caroline Trippel
Gregory Valiant
Ludvig Van Bethoven
Ellen Vitercik
Abi Von Kenobi_IV
Jennifer Widom
Keith Winstein
Mary Wootters
Jiajun Wu
Dan Yamins
Diyi Yang
Serena Yeung
Matei Zaharia
James Zou
